sku,type,category_L1,category_L2,vendor,rank
3.60E+12,Maybelline New York,Beauty,Makeup,L'Oreal CPD,49
BG2202,The Ordinary,Beauty,Skincare,Bagallery,50
5.06E+12,Revolution,Beauty,Makeup,Cosmeco,51
7.70E+11,The Ordinary,Beauty,Skincare,Bagallery,52
sW210611214601100,Shein Jewellery,Shein,Accessories,Bagallery,53
4.25E+12,Essence,Beauty,Makeup,Brands Unlimited - CD,54
2.00E+12,Kryolan,Beauty,Makeup,Bays International,55
5.06E+12,Cool&Cool-Baby,Beauty,Baby Care,Cool & Cool,56
5.06E+12,Makeup Revolution,Beauty,Makeup,Cosmeco,57
BSCGAR8994993013852,Garnier Skincare,Beauty,Skincare,L'Oreal CPD,58
swear18200508222,Shein Jewellery,Shein,Accessories,Bagallery,59
swneck18210428733,Shein Jewellery,Shein,Accessories,Bagallery,60
BMFNYX800897813727,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,61
3.34E+12,CeraVe,Beauty,Skincare,Ayesha Farhan,62
swbag24201217948,Shein Bags,Shein,Bags,Bagallery,63
5.01E+12,Durex,Beauty,Health & Personal Care,Reckitt,64
5.06E+12,ST London,Beauty,Makeup,Bays International,65
swear18210105151,Shein Jewellery,Shein,Accessories,Bagallery,66
6.29E+12,Huda Beauty,Beauty,Makeup,Bagallery,67
BMLNYX800897829971,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,68
BMLNYX800897829926,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,69
FT-061-MSIM,Home.Co Electronics,Fashion,Home.Co,Faiz Traders,70
5.03E+12,Freedom Makeup,Beauty,Makeup,Cosmeco,71
4.01E+12,,Beauty,Beauty Tools,Bagallery,72
BG0950,The Ordinary,Beauty,Skincare,Bagallery,73
8.96E+12,,Beauty,Skincare,Bagallery,74
BMFMAY6902395722434,Maybelline New York,Beauty,Makeup,L'Oreal CPD,75
8.96E+12,Bold,Beauty,Fragrances,Hilal Care,76
swear18201119706,Shein Jewellery,Shein,Accessories,Bagallery,77
3.05E+12,Bourjois,Beauty,Makeup,Brands Unlimited - CD,78
5.06E+12,Cool&Cool-Skincare,Beauty,Skincare,Cool & Cool,79
5.01E+12,Simple,Beauty,Skincare,Elixir Marketing,80
5.03E+12,The Body Shop,Beauty,Makeup,Bagallery,81
4.06E+12,Essence,Beauty,Makeup,Brands Unlimited PVT,82
8.96E+12,Spa in A Bottle,Beauty,Skincare,Spa in A Bottle,83
BMLMAY6902395723035,Maybelline New York,Beauty,Makeup,L'Oreal CPD,84
sw2107263241637339,Shein Jewellery,Shein,Accessories,Bagallery,85
8.96E+12,Vida,Beauty,Makeup,Vida,86
5.06E+12,Revolution Skincare,Beauty,Skincare,Cosmeco,87
swear18210414748,Shein Jewellery,Shein,Accessories,Bagallery,88
swring18210511866,Shein Jewellery,Shein,Accessories,Bagallery,89
swear18210616484,Shein Jewellery,Shein,Accessories,Bagallery,90
swear18210319585,Shein Jewellery,Shein,Accessories,Bagallery,91
swear18210115990,Shein Jewellery,Shein,Accessories,Bagallery,92
FT-048-6BPB,Home.Co Kitchen Utensils - Tools,Fashion,Home.Co,Faiz Traders,93
8.96E+12,Veet,Beauty,Health & Personal Care,Reckitt,94
swneck18210318852,Shein Jewellery,Shein,Accessories,Bagallery,95
swneck18210528850,Shein Jewellery,Shein,Accessories,Bagallery,96
sw2108253125379913,Shein Jewellery,Shein,Accessories,Bagallery,97
3.57E+12,Clean & Clear,Beauty,Skincare,UDL,98
4.61E+12,,Beauty,Skincare,Bagallery,99
3.61E+12,Garnier,Beauty,Makeup,L'Oreal CPD,100
8.99E+12,Maybelline New York,Beauty,Makeup,L'Oreal CPD,101
4.61E+12,Herbion,Beauty,Skincare,Herbion,102
3.61E+12,Bourjois,Beauty,Makeup,Brands Unlimited - CD,103
8.96E+12,Saeed Ghani,Beauty,Skincare,SG 1888 (PRIVATE) LIMITED,104
6.02E+11,Benefit Cosmetics,Beauty,Makeup,Bagallery,105
swear18210309009,Shein Jewellery,Shein,Accessories,Bagallery,106
braceletbr180605802,Shein Jewellery,Shein,Accessories,Bagallery,107
4.06E+12,Essence,Beauty,Makeup,Brands Unlimited - CD,108
sw2107066620623506,Shein Jewellery,Shein,Accessories,Bagallery,109
swear18201221973-1,Shein Jewellery,Shein,Accessories,Bagallery,110
sw2106226824417531,Shein Jewellery,Shein,Accessories,Bagallery,111
swear18210315804,Shein Jewellery,Shein,Accessories,Bagallery,112
